Unnamed: 0,id,domain,type,url,content,scraped_at,inserted_at,updated_at,title,authors,keywords,meta_keywords,meta_description,tags,summary
0,141,<url>,unreliable,<url>,"sometimes power christmas will make do wild wonderful things. do not need believe holy trinity believe positive power doing good others. simple act giving without receiving lost many us these days, worries about money success hold us back from giving others who need. one congregation ohio was moved action by power sermon given at their church christmas eve. pastor at grand lake united methodist church celina, ohio gave an emotional sermon about importance understanding message jesus. many religious people message jesus help others before yourself, make sure people who suffering get help they need enjoy life little bit. sermon was really about generosity what can look like our lives. jesus lived long time ago he acted generously fashion his time - but what would generous act look like our times? was focus sermon. potency sermon was not lost congregation, who were so moved they had take action! after sermon ended, congregation decided take an offering. bowl was passed around room everyone pitched what they could christmas eve words sermon still ringing their ears. what did they do offering? members congregation drove down local waffle house visit ladies working night shift. what great choice most holy days when everyone should their families! ladies working at waffle house clearly were not their families. they had no choice but work holy day because paid bills. congregation understood sacrifice being made by these ladies, wanted help them out. they donated entire offering split amongst ladies at waffle house. total amounted $3,500 being split amongst staff. what beautiful moment! what perfect example what preacher was talking about his sermon! doing good deed like christmas really helped ease burden felt by ladies working at waffle house. sure, they could not see their families, but at least they got little gift from good people their community. perhaps best part about whole event was congregation did not ask anything return. was simple act generosity from people who understood pain being felt by another group sought alleviate some pain. speaks volumes about merits church our daily lives. simple act brought entire community together because showed empathy compassion most special day year.",<date>,<date>,<date>,"church congregation brings gift waitresses working christmas eve, has them crying (video)",ruth harris,,[''],nan,nan,
1,256,<url>,fake,<url>,"awakening 12 strands dna - ""reconnecting you"" movie % readers think story fact. add your two cents. headline: bitcoin & blockchain searches exceed trump! blockchain stocks next! [<date> - zurichtimes.net] miles johnston was giving update, was another case strange synchronicities goodness hidden inside tests trials, like follow whiterabbit down rabbit hole type exercise. researching 12 strands dna we came across some articles, one particular was strange synchronicity written exactly 1 year ago same topic. <url> <url> what 12 strands our dna why war against our dna? trailer awakening 12 strands full video only available paid video vimeo. awakening 12 strands - ""reconnecting you"" <url>/ondemand/awakeningof12strands awakening 12 strands - ""reconnecting you"". from sandra daroy vimeo. we have not watched full video, but based strange synchronicities present within we suggest use your discernment always necessary these end times. <url>",<date>,<date>,<date>,"awakening 12 strands dna - ""reconnecting you"" movie",zurich times,,[''],nan,nan,
2,700,<url>,unreliable,<url>,"never hike alone: friday 13th fan film usa | 2017 | 54 min fan tribute friday 13th, never hike alone follows an adventure never hike alone: friday 13th fan film usa | 2017 | 54 min fan tribute friday 13th, never hike alone follows an adventure blogger, kyle mcleod (andrew leighty), who uncovers long lost remains camp crystal lake while solo backpacking trip. ignoring campfire tales from his childhood, kyle's search turns deadly when he makes grave mistake crossing path camp blood's legendary mass murderer, jason voorhees. stranded forest jason his heels, kyle must push his survival skills their limits if he hopes survive night. otherwise, he'll wind up another lost victim cursed camp. directed by vincente disanti screenplay by vincente disanti nathan mcleod based characters created by sean cunningham victor miller ron kurtz starring: andrew leighty kyle mcleod vincente disanti jason voorhees executive producers barry jay stitch carolyn gair sarah disanti producers kyle klein daniel evans matthew barrett co-producers steven squillante christopher thellas alexander thellas associate producers cody cameron christian ascencio lydia ascencio lynn hobson rene rivas mike whelan directors photography christopher thellas j.d. martz production designer brittany porter special make up effects kelsey berk wardrobe stephen boyd-morales stunts jessica bennett bryan forrest jason voorhees donny nichols kyle mcleod film editing by lawrence gan sarah disanti unit stills photography ashly covington music by ryan perez-daple ""run like hell"" written by: vincente disanti, jake gonsalves, lenny machado performed by: gonsalves, machado recorded at: elm street studios, new bedford, ma 2017 appears courtesy of: damn enchiladas ""another soul"" written performed by: trevor vaughan appears on: finally salao mix tape recorded at: colosseum, new bedford, ma 2012 appears courtesy of: trevor vaughan & mass glory records additional cast crew visit: <url> <url> disclaimer production effort womp stomp films, llc its volunteer associates. never hike alone product fan fiction no way affiliated with, or representative viacom/paramount film company, warner brothers, new line cinema, horror inc, friday 13th film property, or its characters. project was created by fans, fans, show appreciation friday 13th franchise. friday 13th october 2017, project will made free available all who care watch it. no profit shall made off its viewing. thank any all who assisted bringing project life. womp stomp films forever grateful your time dedication project. thank watching.",<date>,<date>,<date>,never hike alone - friday 13th fan film (full movie),nan,,[''],"never hike alone: friday 13th fan film usa | 2017 | 54 mina fan tribute friday 13th, never hike alone follows an adventure blogger, kyle mcleod",nan,
3,768,<url>,unreliable,<url>,"when rare shark was caught, scientists were left blundering answers. shark has unique feature. it's not can survive at extreme depths or live an extended period time. shark's unique trait can extend its jaw telescoping fashion beyond its mouth. if you've ever seen hit science fiction movie ""alien,"" shark monster made manifest earth. shark stalks its prey then lashes out its telescoping teeth snatch large fish swallow them one bite. it's deadly predator deep sea. besides its telescoping teeth, shark can glow dark was only recently discovered back 1986. three decades since was first found, just select few exotic shark species have been found. but during routine survey donghe township taiwan, country's fisheries research institute found five these horrifying deep-sea sharks. team was notably horrified described ""the most obvious feature needle-shaped teeth, like snake-like fangs. also origin viper shark name."" that's right. beast called viper shark. can tell by its name, ferocious its prey. although researchers have gotten their hands few these animals, little known about them. but researchers think these creatures swim between 300-400 meters under surface ocean during day 150 meters below at night. could because temperature changes or something do light? last five specimens were trawled up from depth 350 meters below surface sea. four were already dead. but living specimen was immediately immersed cool seawater. but could not handle sudden change its habitat. perished just day later. while viper sharks look like alien monster from movie, they do not feed humans. their main food sources crustaceans bony fishes. one their favorite lunch items lanternfish. these creatures might attracted toward shark because their glow-in-the-dark bodies. when they swim close enough, shark lashes out its extendable jaw snatches fish up devours whole. first specimens viper shark were found off coast shikoku island japan 1986. bottom-trawler vessel seiryo-maru was first haul these creatures up surface sea. because fish was new discovery at time, it's scientific name honors seiryo-maru captain, hiromichi kabeya. shark's scientific name was trigonognathus kabeyai. although not much about these fish known, scientists classify them dogfish shark. they have only been found deep parts pacific ocean. how would react if shark came up other end your fishing line? would think were having nightmare?",<date>,<date>,<date>,elusive 'alien sea ' caught by scientist one first times ever (video),alexander smith,,[''],nan,nan,
4,791,<url>,clickbait,<url>,"donald trump has unnerving ability ability create his own reality convince millions americans what he says true. problem president lying he then believes his own lies. new poll shows how can get country into deep trouble. new abc news/washington post poll came out after president's physician gave him physical mental exam. doctor gave trump clean bill health, added an inch his height, claimed he was fit serve seven more years. poll was able capture americans' opinions after new book came out indicating people around trump questioned his emotional stability ability hold office. addition, new poll gave respondents time hear trump tell public he was ""very stable genius"" before they were interviewed. he said: 'actually, throughout my life, my two greatest assets have been mental stability being, like, really smart.' abc/washington post poll discovered 21 percent people interviewed believed president was genius. left full 73 percent who saw through lie. then, there was question trump's mental stability. poll found there was nearly even divide throughout nation. when asked if president was stable, 47 percent those interviewed said he was not, but 48 percent believed he stable. abc news/washington post poll was taken from january 15 through 18, 2018. random sample consisted 1,005 adults interviewed by landline cell phone both english spanish. margin error was +/- 3.5 percentage points. featured image via getty images/drew angerer",<date>,<date>,<date>,trump's genius poll complete & results have americans bursting laughter,gloria christie,,[''],nan,nan,
5,899,<url>,unreliable,<url>,"""republicans democrats alike willing turn over government coffers bezos his ilk rights people damned.""",<date>,<date>,<date>,black agenda report,"margaret kimberley, bar editor, senior columnist, glen ford, bar executive editor, nellie bailey, kyle fraser, black agenda radio producer, nellie bailiey",,[''],nan,nan,
6,1058,<url>,conspiracy,<url>,could imagine waking up morgue? i one would traumatized life! 29-year-old prisoner by name gonzalo montoya jimenez was found unresponsive his cell during morning ro...,<date>,<date>,<date>,waking up morgue - awareness act,gerald sinclair,,[''],nan,nan,
7,1376,<url>,fake,<url>,"citizen journalist by n.morgan q has released several new posts over last 48 hours, which again hitting bulls eye. according q, these explosive info releases could start second american revolution. q will begin releasing information about elite's involvement child sex abuse",<date>,<date>,<date>,citizen journalist,nan,,[''],nan,nan,
8,1411,<url>,fake,<url>,"usa dollar tanks mnuchin statement he wants lower dollar value headline: bitcoin & blockchain searches exceed trump! blockchain stocks next! by harvey organ, harvey organ blog: usa index breaks 90 ends at 89.25/usa 10 yr bond note at 2.65%/gold rises $25.00 $1357.15/silver rises 56 cents $17.50 breaks huge $17.25 resistance/monstrous issue gold efps: 12,223/huge silver efp issuance 2598 contracts/huge 2.65 tonnes gold added into gld/nothing added into slv/huge number swamp stories tonight gold: $1357.15 up $25.00 silver: $17.50 up 56 cents closing access prices: gold $1359.00 silver: $17.57 shanghai gold fix: first fix 10 15 pm est (2:15 shanghai local time) second fix: 2:15 am est (6:15 shanghai local time) shanghai first gold fix: $1348.77 dollars per oz ny price gold at exact same time: $1341.15 premium first fix: $7.62 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx second shanghai gold fix: $1358.46 ny gold price at exact same time: $1343.00 premium shanghai 2nd fix/ny:$15.46 shanghai rejects ny /london pricing gold xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx london first gold fix: 5:30 am est $1350.50 ny pricing at exact same time: $1349.80 london second gold fix 10 am: $1353.70 ny pricing at exact same time. $1355.25 comex gold: january/ number notices filed today january contract: 8 notice(s) 800 oz. total notices so far: 692 69200 oz (2.1524 tonnes), silver: january 10 notice(s) filed today for50,000 oz/ total number notices filed so far month: 726 3,630,000 oz xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx bitcoin: bid $10,947/offer $11,047 down $171 (morning) bitcoin: bid $11,108/offer $11,212 up $332 (closing/4 pm) end let us have look at data today xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx silver, total open interest fell by tiny 76 contracts from 200,061 falling 199,985 yesterday's 6 cent loss silver pricing. we thus minimal comex liquidation. however, we were again notified we had another huge sized number comex longs transferring their contracts london through efp route: 2598 efp's march zero other months thus total issuance 2598 contracts. however movement across london not severe gold there seems major players willing take banks at comex. still, transfer 2598 contracts, what cme stating there no silver (or gold) delivered upon at comex they must export their obligation london. also keep mind there can delay 24 hrs issuing efp's. accumulation efp's/silver/ starting from first day notice/for month january: 37,797 contracts (for 17 trading days total 37,797 contracts or 188.98 million oz: average per day: 2223 contracts or 11.116 million oz/day) give an idea huge supply month silver: so far month: 188.98 million paper oz have morphed over london. represents around 26.99% annual global production result: tiny sized loss oi comex despite 6 cent loss silver price which usually indicates another failed banker short-covering. we also had huge sized efp issuance 2598 contracts which exited out silver comex transferred their oi london forwards. speculators continued their interest attacking silver comex physical silver . from cme data 2598 efp's were issued today deliverable forward contract over london fiat bonus. we really gained 2522 oi contracts i.e. 2598 open interest contracts headed london (efp's) together decrease 76 oi comex contracts. all happened fall price silver 6 cents closing price $16.92 respect yesterday's trading. yet we still have good amount silver standing at comex. ounces at comex, oi still represented by just under 1 billion oz i.e. 0.999 billion exact or 141% annual global silver production (ex russia & ex china). new front january month/ they filed: 10 notice(s) 50,000 oz silver gold, open interest surprisingly rose by considerable 9126 contracts up to582,421 good sized rise price gold yesterday's trading ($5.55). another huge development, we received total number gold efp's issued wednesday totaled humongous sized 12,223 contracts which february saw 11,023 contracts issued april saw issuance 1200 contracts. new oi gold complex rests at 583,590. also remember there can delay issuance efp's. bankers remove long positions comex gold immediately. then they orchestrate their private efp deal longs could take an additional 48 hrs so we generally do not get match respect departing comex longs new efp long transfers. demand gold intensifies greatly we continue witness huge number efp transfers together massive increase gold comex oi together total amount gold ounces standing january comex. even though bankers issued these monstrous efps, obligation still rests bankers supply metal but transfers risk london banker obligation not new york comex obligation. longs receive fiat bonus together long london forward. thus, by these actions, bankers at comex have just stated they have no appreciable metal!! massive fraud: they cannot supply any metal our comex longs but they quite willing supply massive non backed gold (and silver) paper knowing they have no metal satisfy our longs. london now severely backward both gold silver (big rise both gofo sifo) we witnessing delays actual deliveries. essence today we have huge gain 21,349 contracts: 9126 oi contracts increased at comex good sized 12,223 oi contracts which navigated over london. expect huge numbers efp's issued we approach first day notice gold feb comex contract, wednesday jan 31.2018 yesterday, we had 11,759 efp's issued. accumulation efp's/ gold(exchange physical) month january starting first day notice: 164,474 contracts or 16.474 million oz or 512.41 tonnes(17 trading days thus averaging: 9674 efp contracts per trading day or 967,400 oz/day) give an idea huge size these efp transfers : so far month 17 trading days: tonnes: 513 tonnes total annual gold production, 2017, throughout world ex china ex russia: 2200 tonnes thus efp transfers represents 474/2200 tonnes = 23.31% global annual production so far january alone. result: shockingly strong sized increase oi at comex fair sized rise price gold trading yesterday ($5.55). we had another gigantic sized number comex long transferring london through efp route: 12,223. there obviously does not seem much physical gold at comex yet we also observed huge delivery month month december. i guess explains huge issuance efp's...there hardly any gold present at gold comex delivery purposes. if take into account 12,223 efp contracts issued, we had net gain open interest 21,349 contracts two exchanges: 12,223 contracts move london 9,126 contracts increased at comex. (in tonnes, gain total oi equates 70.03 tonnes). we had: 8 notice(s) filed upon 800 oz gold. xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx respect our two criminal funds, gld slv: gld gold up $25.00, we had huge change gold inventory at gld/a deposit 2.65 tonnes inventory rests tonight: 849.32 tonnes. slv/ big changes silver inventory at slv/a huge withdrawal 1.131 million oz from slv inventory/ inventory rests at 313.048 million oz/ end first, here an outline what will discussed tonight: 1. today, we had open interest silver fell by tiny 76 contracts from 200,061 down 199,985 (and now little further new comex record set friday/april 21/2017 at 234,787) fall price silver tune 5 cents respect yesterday's trading. our bankers used their emergency procedure issue another good 2598 private efp's march (we do not get look at these contracts private but cftc does audit them) 0 efp's all other months . efp's give our comex longs fiat bonus plus deliverable product over london. we had zero comex silver comex liquidation. if we take oi loss at comex 76 contractsto 2598 oi transferred london through efp's we obtain big gain 2522 open interest contracts. we still have good amount silver ounces standing metal january (see below). net gain today oz two exchanges: 12.61 million oz!!! result: small sized decrease silver oi at comex despite tiny fall 6 cents price (with respect yesterday's trading). but we also had another strong 2598 efp's issued transferring comex longs over london. together good sized amount silver ounces standing january, demand physical silver intensifies we witness major bank short covering accompanied by increases gofo sifo rates indicating scarcity. (report harvey) . 2.a) shanghai london gold fix report (harvey) 2 b) gold/silver trading overnight europe, goldcore (mark o'byrne/zerohedge ny: bloomberg 3. asian affairs i)late tuesday night/wednesday morning: shanghai closed up 12.96 points or 0.37% /hang sang closed up 27.99 pts or 0.08% / nikkei closed down 183.97 points or 0.76%/australia's all ordinaires closed up 0.29%/chinese yuan (onshore) closed well up at 6.3748/oil up 64.63 dollars per barrel wti 69.91 brent. stocks europe opened all red . onshore yuan closed up against dollar at 6.2748. offshore yuan closed up against onshore yuan at 6.3732//onshore yuan much stronger against dollar/off shore much stronger dollar/. dollar (index) much weaker against all major currencies. china very happy today.(good markets/weaker usa dollar ) read more @ <url> source: <url>",<date>,<date>,<date>,usa dollar tanks mnuchin statement he wants lower dollar value,nan,,[''],nan,nan,
9,1422,<url>,conspiracy,<url>,"subscribe canada free press free neither rev. rodriguez nor pope francis will there, but president trump will be, addressing crowd by satellite it's not really president trump who needs his mouth washed out soap throwing spotlight so-called men cloth: it's not president donald trump who needs have his mouth washed out soap having allegedly made use vulgar 's' word at white house meeting immigration. there's just no getting around some words more painful than cuss words, particularly when they heap praise abortion advocates. ""members president trump's evangelical advisory council decided jump ship day publicly sided nancy pelosi daca. (redstate, jan. 18, 2018) ""you have always taken lead. your commitment immigrant community 'dreamers' second none. so america better place because your prophetic leadership matter,"" rev.samuel rodriguez, who spoke at trump's inauguration last year, told pelosi at press conference thursday."" prophetic? really?"" pelosi, course, one loudest advocates abortion ever elected, coming second only former president barack obama, champion partial birth abortion. how sincere was rev. rodriguez when he raised name president donald trump prayer at his inauguration? discomfited by president's use an expression he has denied using, rev. rodriguez, member ""unofficial"" evangelical advisory board president national hispanic christian leadership conference noted ""every single person created image god"" spoke welcoming people equally from nigeria norway, albeit after ""a rigorous vetting process."" ""later day, he said more: ""in addition, great due deference, i believe comments attributed our president can best described wrong, inappropriate, hurtful. why? because when god looks at these nations, he sees his children."" (yahoo, jan. 15, 2018) should go without saying our creator sees among ""his children, millions babies killed their mother's wombs. sadly, pastor not only one who hypocritically regards president's alleged use 's' word more preach-worthy than open advocation abortion. isn't more than tad hypocritical, if not downright sanctimonious vatican newspaper, l'osservatore romano would try wash-his-mouth-with-soap stance latest alleged expletive president donald trump? we all know by now president trump's alleged use 's' word was tattle-taled internet world by catholic u.s. senator dick durbin, who went straight media report vulgarity had been ""repeatedly"" used at white house meeting immigration. tattletale dicky durbin continued below... newspaper, l'osservatore romano--the vatican's flagship--gave trump's comments about immigration debate united states, front page attention, noting comments had immediately sparked ""controversy indignation"". never mind trump denies using term. mercifully, newspaper did not print vulgar word automatically spiralled democrats into full-on faux rage. no, none over here. but it's not just vulgar expletives rile people up. some words indiscriminately used honor abortion advocates just as--if not more--offensive faithful. some some pro-life catholics must have thought 's' word when reading twitter abortion advocate lilianne ploumen, former minister foreign trade development cooperation netherlands, was recently honored by pope francis title 'commander pontifical equestrian order st. gregory great'. was one tweet turned out troubling was true: ""the lepanto institute was able confirm from <date> dutch radio broadcast ploumen indeed received honor. brief video clip promoting broadcast, ploumen displays medal while saying she received from pope. (lepanto institute, jan.12, 2018) ""to say lilianne ploumen ""pro-abortion"" an extreme understatement doesn't even come close scandalous reality her activism. ""in january last year, after us president donald trump reinstated mexico city policy, ploumen launched new ngo called she decides provide mass amounts funds organizations would no longer receive funds from us government. mexico city policy automatically denies us funding international organizations which perform or promote abortion. ""referring mexico city policy ""global gag rule,"" ploumen stated intention she decides was continue support existing programs being run by organizations such united nations population fund (unpfa), international planned parenthood federation marie stopes international. she said, ""these successful effective programs: direct support, distributing condoms, making sure women accompanied at birth, making sure abortion safe if they have no other choice."" lepanto institute continues their ploumen profile: ""but ploumen's anti-catholic activity isn't restricted abortion. september 2017, ploumen participated united nations lgbti core group. first speaker at event, ploumen noted ""lgbti rights human rights."" her opening remarks, she said, ""we cannot complacent. [today] more than 70 countries homosexuality still criminalized...stigma against lgbt people continue all over world."" ""in 2014, ploumen ended foreign aid country uganda passing bill banning sodomy same-sex ""marriage."" february 2010, ploumen called lgbt activists descend upon disrupt mass at st. john baptist cathedral, wearing pink triangles words ""jesus excludes no one."" ""the reason? she other pro-lgbt activists were protesting church's moral teaching regarding homosexuality."" continued below... we already know how pope francis profiles president donald trump: ""in 2016, response question about then-candidate trump's views immigration his intention build wall along u.s. border mexico, francis said man such views was ""not christian"". (reuters, jan. 12, 2018) ""trump, who grew up presbyterian family, shot back saying was ""disgraceful"" pope question his faith."" actions speak so much louder than cuss words. thousands will taking part 2018 march life today. neither rev. rodriguez nor pope francis will there, but president trump will be, addressing crowd by satellite. copyright ©️ canada free press rss feed judi mcleod judi mcleod an award-winning journalist 30 years' experience print media. former toronto sun columnist, she also worked kingston whig standard. her work has appeared rush limbaugh, <url>, drudge report, <url>. older articles by judi mcleod please adhere our commenting policy avoid being banned. privately owned website, we reserve right remove any comment ban any user at any time.comments contain spam, advertising, vulgarity, threats violence, racism, anti-semitism, or personal or abusive attacks other users may removed result ban.-- follow these instructions registering",<date>,<date>,<date>,it's not really president trump who needs his mouth washed out soap,"judi mcleod, because without america, there no free world.",,[''],nan,nan,
